group,subset,method_key,method,median_normalized_rf,median_bsd,mean_normalized_rf,mean_bsd
Sharks,14,supertree,Supertree-based,0.7079646017699115,0.2827717946739148,0.7100294985250738,0.3020511739688296
Sharks,15,original,Proposed,0.3686440677966102,0.24704401978780322,0.36723163841807904,0.24599804690304244
Sharks,15,at_root,Root Attach,0.7838983050847458,0.4219788232218934,0.7805084745762713,0.4270266869343958
Sharks,15,nearest_leaf_parent,Nearest Parent,0.8050847457627119,0.41002283990694366,0.8005649717514125,0.4087115872648086
Sharks,15,no_mcs,No MCS,0.788135593220339,0.45322646275354234,0.7855932203389829,0.45007176480072014
Sharks,15,supertree,Supertree-based,0.7330508474576272,0.3222714241695511,0.7288135593220336,0.33087751329013215
Sharks,16,original,Proposed,0.39669421487603307,0.25709917738507376,0.3840220385674932,0.2559082652222858
Sharks,16,at_root,Root Attach,0.7975206611570248,0.3858599221593253,0.7986225895316804,0.38842176210251284
Sharks,16,nearest_leaf_parent,Nearest Parent,0.8099173553719008,0.37333170344238403,0.8137741046831956,0.37531408490831963
Sharks,16,no_mcs,No MCS,0.8016528925619835,0.38585013491511344,0.8027548209366391,0.3896308655383555
Sharks,16,supertree,Supertree-based,0.7520661157024794,0.30075997560057577,0.7498622589531682,0.31174944010873096
Sharks,17,original,Proposed,0.41338582677165353,0.2560757856501654,0.40761154855643034,0.26223570870234597
Sharks,17,at_root,Root Attach,0.7795275590551181,0.39731783158181067,0.7853018372703413,0.39249298600696997
Sharks,17,nearest_leaf_parent,Nearest Parent,0.7952755905511811,0.36604774816294905,0.8034120734908134,0.3750479410176225
Sharks,17,no_mcs,No MCS,0.7834645669291338,0.4183592123670401,0.7866141732283464,0.4135647456130702
Sharks,17,supertree,Supertree-based,0.7362204724409449,0.30643644291980565,0.7388451443569555,0.3119978705535911
Sharks,18,original,Proposed,0.4022556390977443,0.19734188079397455,0.3909774436090226,0.1998111023888052
Sharks,18,at_root,Root Attach,0.7706766917293233,0.3819581474204192,0.7716791979949876,0.36974553634778007
Sharks,18,nearest_leaf_parent,Nearest Parent,0.7744360902255638,0.3794853349337633,0.7819548872180452,0.3789296290623637
Sharks,18,no_mcs,No MCS,0.7744360902255638,0.38242492008913076,0.7799498746867165,0.3718035509165283
Sharks,18,supertree,Supertree-based,0.7142857142857143,0.2895565024522203,0.7120300751879699,0.289936904971826
Sharks,19,original,Proposed,0.4166666666666667,0.28689461604427335,0.41038647342995177,0.2895226048015088
Sharks,19,at_root,Root Attach,0.7608695652173914,0.3858941092911448,0.7611111111111113,0.3906219780410228
Sharks,19,nearest_leaf_parent,Nearest Parent,0.7608695652173914,0.3828253444208645,0.7666666666666668,0.3928269078230206
Sharks,19,no_mcs,No MCS,0.7681159420289855,0.3754380276538293,0.7698067632850241,0.3848176695078805
