group,subset,method_key,method,tree_idx,normalized_rf,bsd
Amphibians,1,supertree,Supertree-based,23,0.8958333333333334,0.3482723453153432
Amphibians,1,supertree,Supertree-based,24,0.7291666666666666,0.3595052254967826
Amphibians,1,supertree,Supertree-based,25,0.8125,0.33962969478970023
Amphibians,1,supertree,Supertree-based,26,0.8125,0.43546919579993343
Amphibians,1,supertree,Supertree-based,27,0.8333333333333334,0.3553615090042992
Amphibians,1,supertree,Supertree-based,28,0.7083333333333334,0.3405041199600126
Amphibians,1,supertree,Supertree-based,29,0.7291666666666666,0.3750885293093633
Amphibians,1,supertree,Supertree-based,30,0.75,0.329475516229766
Amphibians,2,original,Proposed,1,0.20754716981132076,0.3167578903024392
Amphibians,2,original,Proposed,2,0.18867924528301888,0.15312565088308047
Amphibians,2,original,Proposed,3,0.18867924528301888,0.3103318743188499
Amphibians,2,original,Proposed,4,0.18867924528301888,0.27067818919340764
Amphibians,2,original,Proposed,5,0.16981132075471697,0.20645853909985318
Amphibians,2,original,Proposed,6,0.16981132075471697,0.2253568150862441
Amphibians,2,original,Proposed,7,0.32075471698113206,0.2666459297433493
Amphibians,2,original,Proposed,8,0.32075471698113206,0.2596596980861851
Amphibians,2,original,Proposed,9,0.20754716981132076,0.2604346002331243
Amphibians,2,original,Proposed,10,0.20754716981132076,0.16531020941007996
Amphibians,2,original,Proposed,11,0.18867924528301888,0.2102692774216101
Amphibians,2,original,Proposed,12,0.22641509433962265,0.22479858032261923
Amphibians,2,original,Proposed,13,0.18867924528301888,0.39232148364372726
Amphibians,2,original,Proposed,14,0.20754716981132076,0.3062857338466498
Amphibians,2,original,Proposed,15,0.20754716981132076,0.3656127252256575
Amphibians,2,original,Proposed,16,0.24528301886792453,0.35150018637171226
Amphibians,2,original,Proposed,17,0.1509433962264151,0.24991710813517626
Amphibians,2,original,Proposed,18,0.18867924528301888,0.1950335540598342
Amphibians,2,original,Proposed,19,0.16981132075471697,0.28137241018324094
Amphibians,2,original,Proposed,20,0.1509433962264151,0.15276938172554677
Amphibians,2,original,Proposed,21,0.20754716981132076,0.3789043703444534
Amphibians,2,original,Proposed,22,0.18867924528301888,0.26968302360937135
Amphibians,2,original,Proposed,23,0.16981132075471697,0.3602512529091792
Amphibians,2,original,Proposed,24,0.20754716981132076,0.28202758784584436
Amphibians,2,original,Proposed,25,0.24528301886792453,0.21811442863340857
Amphibians,2,original,Proposed,26,0.24528301886792453,0.3019144615695135
Amphibians,2,original,Proposed,27,0.18867924528301888,0.2101407678185906
Amphibians,2,original,Proposed,28,0.16981132075471697,0.3375970291571104
Amphibians,2,original,Proposed,29,0.2830188679245283,0.28447077834083184
Amphibians,2,original,Proposed,30,0.18867924528301888,0.35196906717457593
Amphibians,2,at_root,Root Attach,1,0.7924528301886793,0.4087793953265479
Amphibians,2,at_root,Root Attach,2,0.7735849056603774,0.2826092517831944
Amphibians,2,at_root,Root Attach,3,0.8490566037735849,0.38156275094371167
Amphibians,2,at_root,Root Attach,4,0.7547169811320755,0.34656424892936194
Amphibians,2,at_root,Root Attach,5,0.5849056603773585,0.27968901398155965
Amphibians,2,at_root,Root Attach,6,0.7358490566037735,0.3292220786807233
Amphibians,2,at_root,Root Attach,7,0.8679245283018868,0.36945363833680267
Amphibians,2,at_root,Root Attach,8,0.8301886792452831,0.36121546530437454
Amphibians,2,at_root,Root Attach,9,0.8679245283018868,0.3661429068499795
Amphibians,2,at_root,Root Attach,10,0.8867924528301887,0.3670081128156287
Amphibians,2,at_root,Root Attach,11,0.7358490566037735,0.2869136048049018
Amphibians,2,at_root,Root Attach,12,0.9245283018867925,0.3402715809328716
Amphibians,2,at_root,Root Attach,13,0.7358490566037735,0.39041033492172855
Amphibians,2,at_root,Root Attach,14,0.8113207547169812,0.3838717775446018
Amphibians,2,at_root,Root Attach,15,0.8490566037735849,0.4520330959983596
Amphibians,2,at_root,Root Attach,16,0.8490566037735849,0.3708673231599239
Amphibians,2,at_root,Root Attach,17,0.8490566037735849,0.37841715488622496
Amphibians,2,at_root,Root Attach,18,0.7547169811320755,0.2486914632198987
Amphibians,2,at_root,Root Attach,19,0.8113207547169812,0.3665253723950481
Amphibians,2,at_root,Root Attach,20,0.7358490566037735,0.23330781277304763
Amphibians,2,at_root,Root Attach,21,0.9433962264150944,0.4625781144800755
Amphibians,2,at_root,Root Attach,22,0.7924528301886793,0.34482017761915257
Amphibians,2,at_root,Root Attach,23,0.8301886792452831,0.41465138231204346
Amphibians,2,at_root,Root Attach,24,0.7735849056603774,0.3288162818999888
Amphibians,2,at_root,Root Attach,25,0.7735849056603774,0.30836473591640345
Amphibians,2,at_root,Root Attach,26,0.7924528301886793,0.3998184789741998
Amphibians,2,at_root,Root Attach,27,0.7547169811320755,0.2914121429346059
Amphibians,2,at_root,Root Attach,28,0.8679245283018868,0.39929307291245475
Amphibians,2,at_root,Root Attach,29,0.8301886792452831,0.34382823541146906
Amphibians,2,at_root,Root Attach,30,0.8113207547169812,0.35929610718850924
Amphibians,2,nearest_leaf_parent,Nearest Parent,1,0.7924528301886793,0.4352606291649068
Amphibians,2,nearest_leaf_parent,Nearest Parent,2,0.7547169811320755,0.25043679080816056
Amphibians,2,nearest_leaf_parent,Nearest Parent,3,0.8490566037735849,0.39786764865260604
Amphibians,2,nearest_leaf_parent,Nearest Parent,4,0.7735849056603774,0.37831539923488827
Amphibians,2,nearest_leaf_parent,Nearest Parent,5,0.6037735849056604,0.3012315928251359
Amphibians,2,nearest_leaf_parent,Nearest Parent,6,0.7547169811320755,0.34059448593750524
Amphibians,2,nearest_leaf_parent,Nearest Parent,7,0.8867924528301887,0.3752222597063734
Amphibians,2,nearest_leaf_parent,Nearest Parent,8,0.8301886792452831,0.35416272822399303
Amphibians,2,nearest_leaf_parent,Nearest Parent,9,0.8490566037735849,0.361161014413307
Amphibians,2,nearest_leaf_parent,Nearest Parent,10,0.8490566037735849,0.37630725696563916
Amphibians,2,nearest_leaf_parent,Nearest Parent,11,0.7358490566037735,0.30833133414539965
Amphibians,2,nearest_leaf_parent,Nearest Parent,12,0.9433962264150944,0.3420882319566566
Amphibians,2,nearest_leaf_parent,Nearest Parent,13,0.8301886792452831,0.36527367081332873
Amphibians,2,nearest_leaf_parent,Nearest Parent,14,0.8679245283018868,0.36985638375867586
Amphibians,2,nearest_leaf_parent,Nearest Parent,15,0.8679245283018868,0.4590394850167401
Amphibians,2,nearest_leaf_parent,Nearest Parent,16,0.8490566037735849,0.387418910745767
Amphibians,2,nearest_leaf_parent,Nearest Parent,17,0.8679245283018868,0.385394285300116
Amphibians,2,nearest_leaf_parent,Nearest Parent,18,0.7358490566037735,0.20621382463796376
Amphibians,2,nearest_leaf_parent,Nearest Parent,19,0.7924528301886793,0.3726322121821072
Amphibians,2,nearest_leaf_parent,Nearest Parent,20,0.6792452830188679,0.1705684989734305
Amphibians,2,nearest_leaf_parent,Nearest Parent,21,0.9433962264150944,0.48005213549834175
Amphibians,2,nearest_leaf_parent,Nearest Parent,22,0.7735849056603774,0.3344873359124579
Amphibians,2,nearest_leaf_parent,Nearest Parent,23,0.8679245283018868,0.39800860063110927
Amphibians,2,nearest_leaf_parent,Nearest Parent,24,0.8490566037735849,0.29993166175122943
Amphibians,2,nearest_leaf_parent,Nearest Parent,25,0.7924528301886793,0.31489963975716323
Amphibians,2,nearest_leaf_parent,Nearest Parent,26,0.8301886792452831,0.411646429667287
Amphibians,2,nearest_leaf_parent,Nearest Parent,27,0.8113207547169812,0.26823376198608656
Amphibians,2,nearest_leaf_parent,Nearest Parent,28,0.8679245283018868,0.41825729632726033
Amphibians,2,nearest_leaf_parent,Nearest Parent,29,0.8301886792452831,0.2982543961738416
Amphibians,2,nearest_leaf_parent,Nearest Parent,30,0.7547169811320755,0.3323658620952279
Amphibians,2,no_mcs,No MCS,1,0.7735849056603774,0.41366146457559005
Amphibians,2,no_mcs,No MCS,2,0.7547169811320755,0.2846014534887815
Amphibians,2,no_mcs,No MCS,3,0.8490566037735849,0.3817016618701526
Amphibians,2,no_mcs,No MCS,4,0.7358490566037735,0.35189926598408966
Amphibians,2,no_mcs,No MCS,5,0.5849056603773585,0.28006146442927793
Amphibians,2,no_mcs,No MCS,6,0.7169811320754716,0.3340819068789735
Amphibians,2,no_mcs,No MCS,7,0.8679245283018868,0.36984368431737674
Amphibians,2,no_mcs,No MCS,8,0.8301886792452831,0.36274757644438216
Amphibians,2,no_mcs,No MCS,9,0.8490566037735849,0.3714856546145943
Amphibians,2,no_mcs,No MCS,10,0.8490566037735849,0.37024887964993997
Amphibians,2,no_mcs,No MCS,11,0.7358490566037735,0.28734679414134195
Amphibians,2,no_mcs,No MCS,12,0.9245283018867925,0.3418684392095692
Amphibians,2,no_mcs,No MCS,13,0.7358490566037735,0.3897011950491284
Amphibians,2,no_mcs,No MCS,14,0.8113207547169812,0.38288700588538316
Amphibians,2,no_mcs,No MCS,15,0.8490566037735849,0.44962524839923607
Amphibians,2,no_mcs,No MCS,16,0.8490566037735849,0.3690314904690994
Amphibians,2,no_mcs,No MCS,17,0.8490566037735849,0.3786324050778124
Amphibians,2,no_mcs,No MCS,18,0.7358490566037735,0.25130848904319686
Amphibians,2,no_mcs,No MCS,19,0.7924528301886793,0.3724301560443565
Amphibians,2,no_mcs,No MCS,20,0.7169811320754716,0.2352506677336719
Amphibians,2,no_mcs,No MCS,21,0.9433962264150944,0.46035142964763065
Amphibians,2,no_mcs,No MCS,22,0.7735849056603774,0.35197609426185356
